vid,occlusion_accuracy,survival,median_traj_error,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,num_frames,num_points
34,0.8593038821954485,98.90625,3.0887665105714337,0.3344867358708189,0.18919230323894545,0.6113033448673587,0.408241233400431,0.7858515955401768,0.5652107976091582,0.8929257977700884,0.6880929014249112,0.9455978469819301,0.7407657276537754,0.5183005926654441,0.7140330642060746,250.0,30.0
35,0.9278447121820615,98.26262626262626,2.910280728503608,0.5910611128002432,0.4207383278587689,0.8079963514746124,0.6538169867727733,0.9300699300699301,0.8328897603539865,0.9642748555792034,0.888985130519852,0.9817573730617208,0.9010605839167426,0.7394981578844246,0.855031924597142,250.0,30.0
36,0.7380187416331995,94.73042602702459,4.084802754703178,0.26302478502781995,0.15448065171542966,0.5086831900185467,0.34531861868454744,0.659753835778115,0.4792536533821433,0.7368066093407519,0.525635849747593,0.8595515090204012,0.6037629083882072,0.42169033638358416,0.6055639858371269,250.0,30.0
37,0.8358768406961178,95.0265616999488,8.531337506178271,0.2180081065431384,0.1336783865666894,0.4680081065431384,0.33026178007012963,0.6496815286624203,0.479962721286118,0.7840185292414592,0.6371134019797534,0.8574116965836711,0.6904856951842334,0.4543003970173848,0.5954255935147655,250.0,30.0
38,0.885809906291834,98.61344537815125,2.9857624138404097,0.42532415559468545,0.27226594860477776,0.6993757003361614,0.542954031582146,0.7902993436849688,0.6552142278826173,0.9116375860412999,0.772727272615768,0.9473347206659196,0.8050249778423413,0.60963729170553,0.754794301264607,250.0,30.0
39,0.8315930388219545,97.32371794871796,2.289813292839064,0.5090801712682711,0.3536309400994002,0.6655839362173336,0.5133394663623114,0.7774988926620404,0.6313375479569434,0.8854274324523844,0.7133185782172479,0.9441901668389192,0.744895253149709,0.5913043571571224,0.7563561198877897,250.0,30.0
40,0.8081983104833126,91.56094474667394,6.792783575357977,0.3459996793330127,0.2286410854114224,0.6344396344396345,0.5074782155667215,0.7679974346641013,0.6302390997707118,0.8154561487894821,0.6632228439283652,0.84992784992785,0.6740323511447094,0.5407227191643861,0.6827641494308161,250.0,29.0
41,0.7670682730923695,90.7220652155949,6.230060472452361,0.24120603015075376,0.15329644995927888,0.37760229720028715,0.25593071416393487,0.6073223259152908,0.45414910616855847,0.7959440057430007,0.5386744578596533,0.8835247666905959,0.6073895581353591,0.40188805725735693,0.5811198851399857,250.0,30.0
42,0.892904953145917,100.0,1.268229138240606,0.5276451563221931,0.3688908239502677,0.7950100107808409,0.663712131146486,0.9042045279531803,0.8139333620634741,0.9765901740335746,0.8437179297986046,0.9779762821500076,0.8437179297986046,0.7067944353514874,0.8362852302479593,250.0,30.0
43,0.8302543507362784,98.6111111111111,3.2315323011270887,0.3322755273473959,0.20998566648232372,0.5762553668097816,0.42836999429944017,0.6830315475079335,0.5432663009531892,0.883330222139257,0.7042395691951144,0.9576255366809782,0.7351832818199412,0.5242089625500017,0.6865036400970692,250.0,30.0
44,0.9373493975903614,99.58605664488017,1.429360991600641,0.39479840374294756,0.24729670327496292,0.7212054492913169,0.5734723299796526,0.8969313334250723,0.8090016574258572,0.9526627218934911,0.8575543334829072,0.9858263382413651,0.9152267817339056,0.6805103611794572,0.7902848493188385,250.0,30.0
45,0.8097724230254351,98.08555137265262,4.107655194066563,0.39045226130653266,0.23253024090447563,0.7214405360134003,0.5336484636728885,0.8597989949748743,0.6838295546730634,0.9279731993299832,0.7316011234927526,0.9716917922948074,0.778306649245881,0.5919832063978122,0.7742713567839196,250.0,30.0
46,0.9082998661311914,96.9396551724138,3.655808911870865,0.2516358463726885,0.1462264150822388,0.5833570412517781,0.41843317968065197,0.7675675675675676,0.6287629350154323,0.9035561877667141,0.7971973529522256,0.961877667140825,0.8860294116440591,0.5753298588749216,0.6935988620199147,250.0,30.0
47,0.8087014725568943,94.86954366110038,8.827822770153922,0.30770411295273176,0.17994834899649986,0.4617863720073665,0.2877994765162271,0.6241559238796808,0.4124986198065034,0.6932166973603437,0.4424399593592919,0.7538367096378146,0.4945093457366227,0.363439150083029,0.5681399631675874,250.0,30.0
48,0.9149933065595717,100.0,2.211122356594947,0.3064976228209192,0.18593013182697235,0.7129952456418384,0.5710096888614214,0.913946117274168,0.791654550626395,0.9863708399366086,0.8856924252661525,0.9963549920760697,0.896429670529943,0.6661432934221769,0.7832329635499209,250.0,30.0
49,0.7926372155287817,95.36692459407082,3.815382663404252,0.23787489288774635,0.13844140151646783,0.47969151670951155,0.3236946850475656,0.6759211653813196,0.49960212194965486,0.8197086546700942,0.6559753953345085,0.8906598114824336,0.6997895368761591,0.4635006281448712,0.620771208226221,250.0,30.0
avg,0.8425781286063797,96.69392454220352,4.249371413652512,0.3605723793137936,0.22880571198599076,0.6171186067611144,0.4559890023289497,0.7843929233503123,0.6280142968666281,0.8833827293973548,0.7125761207020709,0.9294574880222758,0.7491326818778637,0.5549035627523007,0.7149848253689701,250.0,29.94
